nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"AAF INTERNACIONAL","AV DOCTOR SEVERO OCHOA (DEL) 38 EDIFICIO B 2","28108","PARQUE EMP. CASABLANCA","916624866","916624275","af.madrid@aaf.es","www.aaf.es","ANA MARIA DURAN","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","EQUIPOS DE FILTRACION",40.54091291,-3.65506360
"ABALIS COMUNICACIÓN","CL ARAGONESES (DE LOS) 14","28108","POLIGONO INDUSTRIAL","691552472","NO DISPONIBLE","administracion@abaliscomunicacion.com","www.abaliscomunicacion.com","ALINA","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS. ROTULACION",40.52153854,-3.66339095
"ABAX","CL SAN JOSE ARTESANO (DE) 1 -B 1º","28108","POLIGONO INDUSTRIAL","916610781","NO DISPONIBLE","carlos.plaza@abax.es","www.abax.es","CARLOS PLAZA","","INFORMATICA","NO DISPONIBLE",40.52979004,-3.65666286
"ABC ARQUITECTOS ASOCIADOS","CL ANABEL SEGURA (DE) 10","28108","ARROYO DE LA VEGA","913770019","911253769","a.moreno@livit.design","NO DISPONIBLE","PILAR BERBEGAL","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","ARQUITECTURA E INGENIERIA",40.53420975,-3.62762211
"ABI","AV BRUSELAS (DE) 5 -1º PLANTA","28100","ARROYO DE LA VEGA","917324980","NO DISPONIBLE","marisolm@abiconsult.com","NO DISPONIBLE","NO DISPONIBLE","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA",40.53067721,-3.63274744
"ABRAKE","AV DOCTOR SEVERO OCHOA (DEL) 37 - F","28100","PARQUE EMP. CASABLANCA","916611188","916612504","info@abrake.com","www.abrake.com","IÑIGO VILLASECA ANTON","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","REHABILITACION DE EDIFICIOS Y TRABAJOS VERTICALES",40.54136786,-3.65322389
"ABYO","AV INDUSTRIA (DE LA) 4 EDF. 0, 1º B","28108","POLIGONO INDUSTRIAL","913441714","NO DISPONIBLE","info@abyo.com","www.abyo.com","GONZAGA AVELLO","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","PROYECTOS CONSTRUCCION TUNELES Y MINERIA",40.53543008,-3.64232167
"ACCESO TELECOM","AV INDUSTRIA (DE LA) 13 - PLANTA 1º OFICINA 10","28108","POLIGONO INDUSTRIAL","916623042 / 690833617","914905227","ja.valenzuela@accesotel.com","www.accesotel.com","JUAN ANTONIO VALENZUELA VEGA","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","INGENIERIA E NSTALACIONES DE TELEFONIA",40.53516074,-3.64723116
"ACCIONA INFRAESTRUCTURAS","AV EUROPA (DE) 18","28108","PARQUE EMP. MORALEJA","916632850 / 916632851","NO DISPONIBLE","icalvoh@acciona.es","www.acciona.es","IGNACIO CALVO","","INMOBILIARIAS Y CONSTRUCTORAS","CONSTRUCTORA",40.51656250,-3.65607816
"ACCIONA INFRAESTRUCTURAS","CL VALPORTILLO II (DE) 8","28108","POLIGONO INDUSTRIAL","917912020 / 916632850","917912101","icalvoh@acciona.es","www.acciona.es","IGNACIO CALVO I+D","","OBRAS PUBLICAS. SEÑALIZACION DE CARRETERAS Y FERROVIARIAS","INFRAESTRUCTURAS",40.53318462,-3.65565272
"ACCOR HOTELES ESPAÑA, S.A.","CL FRANCISCO GERVAS (DE) 1","28108","POLIGONO INDUSTRIAL","916624703","916615696","h6301@accor.com","www.ibishotel.com","BIBIANA BARCENA","","HOSTALES, CASAS DE HUESPEDES Y  HOTELES","HOTEL",40.53042958,-3.65080103
"ACENS TECHNOLOGIES","CL SAN RAFAEL (DE) 14","28108","POLIGONO INDUSTRIAL","911418563 / 900103293","NO DISPONIBLE","carmen.rosa@acens.com","www.acens.com","CARMEN ROSA","","INFORMATICA","NUEVAS TECNOLOGIAS, EMPRESAS DE HOSTING Y VENTA DE DOMINIOS PARA INTERNET",40.52627256,-3.66084729
"ACF CONSULTORES","AV DOCTOR SEVERO OCHOA (DEL) 38 - MODULO 08","28100","PARQUE EMP. CASABLANCA","916625095","916618035","adm@acf-consultores.com","www.acf-consultores.com","JUAN PEINADO VALDERAS","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","ASESORIA FISCAL, CONTABLE, LABORAL Y JURÍDICA",40.54091291,-3.65506360
"ACTIVISION BLIZZARD SPAIN","CL ANABEL SEGURA (DE) 7 PLANTA 1º","28100","ARROYO DE LA VEGA","916627929","NO DISPONIBLE","recepcion.espana@activision.com","www.activisionblizzard.com","NO DISPONIBLE","","INFORMATICA","EDICION Y DISTRIBUCION DE JUEGOS CONSOLA Y ON LINE",40.53498955,-3.62644539
"ACTUALIZE","AV VALDELAPARRA (DE) 27 - EDIFICIO 1","28100","POLIGONO INDUSTRIAL","917994070","NO DISPONIBLE","info@actualizegroup.com","www.actualizegroup.com","NOEMI JEREZ","","INFORMATICA","SERVICIOS INFORMATICOS",40.53889230,-3.64696818
"AD CONSULTING SOFTWARE COMUNICACIONES CLIENTES","AV INDUSTRIA (DE LA) 13 PANTA 1, OFICINA 20","28108","POLIGONO INDUSTRIAL","912416507","NO DISPONIBLE","contacto@adconsulting.es","www.adconsulting.es","THIERRY MARTIN","","INFORMATICA","SOFTWARE",40.53516074,-3.64723116
"ADC","AV INDUSTRIA (DE LA) 4 EDF. 0, 1º A","28108","POLIGONO INDUSTRIAL","910242952","NO DISPONIBLE","l.cabezali@adc-solutions.net","www.adc-solutions.net","LORENA CABEZALI","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","INGENIERIA SECTOR TELECOMUNICACIONES",40.53543008,-3.64232167
"ADECCO","AV DOCTOR SEVERO OCHOA (DEL) 55 BAJO y 1ª PLANTA","28100","PARQUE EMP. CASABLANCA","915993716 / 914325600","NO DISPONIBLE","cristina.vicente@adecco.com","www.adecco.com","CRISTINA VICENTE","","GESTION DE PERSONAL. TRABAJO TEMPORAL","FORMACION Y SELECCIÓN DE PERSONAL",40.54041992,-3.65466504
"ADLER","CL SAN RAFAEL (DE) 1 P1-2º B","28108","POLIGONO INDUSTRIAL","913584046","913581383","marisa@adler-instrumentos.es","www.adler-instrumentos.es","MARISA HERRAIZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","ASESORAMIENTO Y SUMINISTRO DE INSTRUMENTACION DE MEDIDA Y ENSAYO PARA INSTALACIONES Y LABORATORIOS",40.52428139,-3.65890105
"ADQUIERE PUBLICIDAD","CR FUENCARRAL (DE) 44 - EDIFICIO 4A LOFT 33","28108","POLIGONO INDUSTRIAL","912772177 / 606970701","NO DISPONIBLE","roberto@adquierepublicidad.es","www.adquierepublicidad.es","ROBERTO GUITIAN YUSTAS","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","PUBLICIDAD",40.51888227,-3.65470622
"ADRABA MARKETING","AV ZAPORRA (DE LA) 151","28100","CASCO URBANO","912939920 / 922939920","NO DISPONIBLE","padan@adraba.com","www.adraba.com","PABLO ADAN","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING ON LINE",40.54856707,-3.63770848
"ADVANCED PRODUCTS ESPAÑA","AV INDUSTRIA (DE LA) 6 - EDIFICIO A 1ºB","28108","POLIGONO INDUSTRIAL","916506800 / 691109646","916506961","eu.maria.lorenzo@ap-grupo.com","www.ap-grupo.com","MARIA JOSE","","FRIO INDUSTRIAL","COMERCIALIZACION DE PRODUCTOS PARA LA CADENA DE FRIO EMBALAJES",40.53525212,-3.64306522
"AERÓDRONOMO","CL TORRES QUEVEDO (DE) 11","28108","POLIGONO INDUSTRIAL","914939068","NO DISPONIBLE","contacto@aerodronomo.com","www.aerodronomo.com","CESAR MACORRA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","INGENIERIA. FORMACION Y ENSAYOS VEHICULOS AEREOS NO TRIPULADOS",40.53513387,-3.65516383
"AGRIPALMA","CL VALPORTILLO I (DE) 6","28108","POLIGONO INDUSTRIAL","916615727","916613008","agripalma@agripalma.com","www.agripalma.com","MARIANO GARCIA DIAZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","FABRICA DE PAN Y PANES ESPECIALES",40.53042897,-3.65380149
"AGRUPEM","AV VALDELAPARRA (DE) 4 - NAVE- 7-8","28108","POLIGONO INDUSTRIAL","916614551 / 916618064","916615245","administracion@ag-rupem.com","www.ag-rupem.com","RUFINO LISO DEL RIO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS",40.53651893,-3.64164576
"AGRUPEM","AV INDUSTRIA (DE LA) 6 NAVE 28","28108","POLIGONO INDUSTRIAL","914901420","NO DISPONIBLE","digital@agrupem.com","NO DISPONIBLE","MANUEL NAVARRO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS Y MTO INFORMATICO",40.53525212,-3.64306522
"AGY","AV DOCTOR SEVERO OCHOA (DEL) 33 NAVE 3K","28100","PARQUE EMP. CASABLANCA","619271786","NO DISPONIBLE","carlos@agyagency.com","www.agyagency.com","CARLOS CASTAÑO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","COMUNICACIÓN Y EVENTOS",40.54143544,-3.65249238
"AHORRACOM","AV INDUSTRIA (DE LA) 13 - OFICINA 25","28108","POLIGONO INDUSTRIAL","911252185","NO DISPONIBLE","info@ahorracom.com","www.ahorracom.com","NO DISPONIBLE","","INFORMATICA","GESTION Y AHORRO EN TELECOMUNICACIONES PARA EMPRESAS",40.53516074,-3.64723116
"AIRFON COMUNICACIONES","AV INDUSTRIA (DE LA) 6 - OFIC.16","28108","POLIGONO INDUSTRIAL","915352427 / 610529267","918280240","vbonilla@airfon.es","http://www.airfon.es/","VIRGINIA BONILLA","","TELEFONIA, TELEFONIA MOVIL","DISTRIBUIDOR VODAFONE",40.53525212,-3.64306522
"AISLAMIENTOS HERMANOS GONZALEZ, S.L.","AV INDUSTRIA (DE LA) 53 - NAVE 12","28108","POLIGONO INDUSTRIAL","916626240","NO DISPONIBLE","hbriones@hbriones.es","www.aislamientos-hgbriones.com","JOSE Mª GONZALEZ","","CLIMATIZACION: CALEFACCION - AIRE ACONDICIONADO Y CHIMENEAS","ALMACEN DE MATERIAL DE AISLAMIENTO",40.53361781,-3.65620683
"ALACENA NATURAL CATERING","CL JOSE ECHEGARAY (DE) 16 EDIF. A1 , PLANTA 3 NAVES 2 Y 3","28100","PARQUE EMP. CASABLANCA","916639397","NO DISPONIBLE","info@alacenacatering.com","www.alacenacatering.com","JESUS HERRANZ","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","CATERING",40.54209400,-3.65461052
"ALBA 3 CENTRO DE NEGOCIOS","CL ANABEL SEGURA (DE) 11 3º PLANTA","28108","ARROYO DE LA VEGA","911846400","911846401","alba3@alba3.es","www.alba3.es","BLANCA MUNARRIZ","","CENTRO DE NEGOCIOS. ESPACIOS EN ALQUILER","CENTRO DE NEGOCIOS Y ESPACIOS PARA EL DESARROLLO EMPRESAS",40.53329719,-3.62708410
"ALBEN DAS","AV INDUSTRIA (DE LA) 13 -TALLER 29","28108","POLIGONO INDUSTRIAL","916612322/627703998","NO DISPONIBLE","info@albendas.com","www.albendas.com","SANTIAGO DIAZ","","INFORMATICA","DISTRIBUCIÓN DE MATERIAL DOMÓTICO",40.53516074,-3.64723116
"ALCAMPO","CL CAMINO SUR (DEL) 15","28109","CASCO URBANO","916501200","916504411","dept.cformacion@alcampo.es","www.alcampo.es","ANGEL ALVAREZ","","SERVICIOS A LA PROPIA EMPRESA. COWORKING","CENTRO DE FORMACION PARA LA PROPIA EMPRESA",40.51144574,-3.63852011
"ALCOSAN ILUMINACION","CL GRANJA (DE LA) 15","28108","POLIGONO INDUSTRIAL","916617329 / 916610926 / 914901040 / 620323100","916627056","alcosan@sealcosan.com","www.sealcosan.com","JUAN MANUEL ALVAREZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISTRIBUCION MATERIAL ELECTRICO",40.52911402,-3.65827511
"ALFA IMPRENTA DIGITAL","CR FUENCARRAL (DE) 44 - EDIF. 5, LOFT 16","28108","POLIGONO INDUSTRIAL","655215447","NO DISPONIBLE","jer@alfaimprentadigital.es","NO DISPONIBLE","JER JERALA","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","IMPRENTA",40.51888227,-3.65470622
"ALFA LAVAL IBERIA","CL FRANCISCO GERVAS (DE) 4 2º PLANTA","28108","POLIGONO INDUSTRIAL","913790600","NO DISPONIBLE","ascension.garcia@alfalaval.com","www.alfalaval.es","ASCENSION GARCIA","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","VENTA DE MAQUINARIA INDUSTRIAL",40.53019709,-3.65040790
"ALISEO SPAIN","AV DOCTOR SEVERO OCHOA (DEL) 43 - LOCAL G","28100","PARQUE EMP. CASABLANCA","914840658","914840659","cuseros@aliseo-spain.es","www.aliseo.es","DAVID ARCOS","","SUMINISTROS PARA HOSTELERIA. SERVICIOS DE CATERING","VENTA AL POR MAYOR DE COMPLEMENTOS PARA HOTELES",40.54136708,-3.65367784
"ALISI","AV INDUSTRIA (DE LA) 4 - EDIFICIO 2 - 1º - C","28108","POLIGONO INDUSTRIAL","914840222","916638438","alcobendas@alisisa.com","www.alisisa.com","ANTONIO MARTIN MARTIN","","INMOBILIARIAS Y CONSTRUCTORAS","PROMOCION Y CONSTRUCCION",40.53543008,-3.64232167
"ALLFUNDS BANK","CL ESTAFETA 3","28109","CASCO URBANO","912746400","NO DISPONIBLE","marketing@allfundsbank.com","www.allfundsbank.com","MIGUEL ANGEL MARTIN BARRAL","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","SERVICIOS FINANCIEROS",40.51482278,-3.65232922
"ALLFUNDS BANK","CL SAN RAFAEL (DE) 1 PORTAL A, 3º","28108","POLIGONO INDUSTRIAL","912746400","NO DISPONIBLE","marketing@allfundsbank.com","www.allfundsbank.com","MIGUEL ANGEL MARTIN BARRAL","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","SERVICIOS FINANCIEROS",40.52428139,-3.65890105
"ALLIANCE DIAGNOSTICOS","CL GRANJA (DE LA) 8","28108","POLIGONO INDUSTRIAL","916250126","NO DISPONIBLE","info@alliancediagnosticos.es","NO DISPONIBLE","PABLO GUILLEN","","SERVICIOS MEDICOS","ACTIVIDADES SANITARIAS",40.52717421,-3.65901049
"ALMA DUE","CL GUZMAN EL BUENO (DE) 12","28108","POLIGONO INDUSTRIAL","914157878","NO DISPONIBLE","almadue@almadue.es","NO DISPONIBLE","JAVIER LOPEZ CATALAN","","ZAPATOS, BOLSOS Y COMPLEMENTOS. MALETAS","COMERCIO AL POR MAYOR DE OBJETOS DE MARROQUINERIA, BOLSOS, ZAPATOS, BISUTERIA Y MODA",40.52914962,-3.65597421
"ALMEVAN","AV VALDELAPARRA (DE) 27 EDF. I , PLANTA 3º","28100","POLIGONO INDUSTRIAL","916591160","NO DISPONIBLE","almevan@almevan.com","NO DISPONIBLE","ALBINO SANZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","COMERCIO AL POR MENOR DE EQUIPOS MEDICOS",40.53889230,-3.64696818
"ALQUIMOBIL,S.L","CL VALGRANDE (DE) 23 - NAVE E","28108","POLIGONO INDUSTRIAL","914900673/918081878","NO DISPONIBLE","oscar@alquimobil.com","www.alquimobil.com","OSCAR HIDALGO","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","ALQUILER DE VEHICULOS INDUSTRIALES",40.53756945,-3.65149225
"ALSTOM POWER","CL VALGRANDE (DE) 8 -  1º PLANTA","28108","POLIGONO INDUSTRIAL","914844568 / 914844500","914844518","federico.martinez@power.alstom.com","www.alstom.com","FEDERICO MARTÍNEZ","","DISTRIBUCION DE GAS Y ELECTRICIDAD, ENERGIAS ALTERNATIVAS","CENTRAL DE ENERGIA RENOVABLE",40.53707501,-3.65013897
"ALTO CAPITAL INVERSIONES","CL ANABEL SEGURA (DE) 11 - ESCALERA A 3ºC","28100","ARROYO DE LA VEGA","914901382","NO DISPONIBLE","montsemayo@idpingenieros.com","www.idpingenieros.com","MONTSE MAYO PEREZ","","INMOBILIARIAS Y CONSTRUCTORAS","ACTIVIDADES INMOBILIARIAS",40.53329719,-3.62708410
"ALUMINIOS DORAVALL","CL JOSE ECHEGARAY (DE) 4 - BLOQUE A1, NAVE 16-2-6","28100","PARQUE EMP. CASABLANCA","916621564","916621564","contacto@aluminiosdoravall.com","www.aluminiosdoravall","SERGIO  DORADO E IGNACIO DORADO","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","CARPINTERIA DE ALUMINIO",40.54190758,-3.65466022
"ALUMINIOS ROMAR","CL VELARDE (DE) 4","28100","CASCO URBANO","916620332","NO DISPONIBLE","manuel-budia@hotmail.es","NO DISPONIBLE","MANUEL BUDIA","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","CARPINTERIA ALUMINIO",40.54394882,-3.64220290
"ALUPER","CL VALGRANDE (DE) 21 - NAVE E","28108","POLIGONO INDUSTRIAL","916626427","916612455","info@martinhnos.es","www.ventanasaluminiomadridmh.com","JOSE JULIO MARTIN","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","FABRICACION E INSTALACION DE CARPINTERIA DE ALUMINIO",40.53756513,-3.65169146
"ALVISA, ACTIVIDADES DEPORTIVAS Y CULTURALES","AV DOCTOR SEVERO OCHOA (DEL) 38 - LOCAL 2,1","28100","PARQUE EMP. CASABLANCA","692690212","NO DISPONIBLE","jose@grupoalvisa.com","www.grupoalvisa.com","JOSE VILLAFRANCA HOLGUIN","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","ORGANIZACIÓN DE EVENTOS, ACTIVIDADES DEPORTIVAS Y CULTURALES",40.54091291,-3.65506360
"AMARAUTO","AV VALDELAPARRA (DE) 7","28108","POLIGONO INDUSTRIAL","916612500","916621282","dmn@sansemovil.redcitroen.com","www.amarautosa.citroen.es","DAVID MARTINEZ","","VENTA DE VEHICULOS A MOTOR. CONCESIONARIO OFICIAL","VENTA Y REPARACION DE AUTOMOVILES. CITROEN",40.53824115,-3.64505079
"AMDOCS","AV VEGA (DE LA) 1 EDF. VEGANOVA , 3 , PLANTA 1º","28100","ARROYO DE LA VEGA","911876318","NO DISPONIBLE","cristina.rodriguez@amdocs.com","www.amdocs.com","CRISTINA RODRIGUEZ","","INFORMATICA","TELECOMUNICACIONES",40.52433701,-3.63873734
"AMIGO INFORMATICO","CR FUENCARRAL (DE) 44 PORTAL 8, OFICINA 7","28108","POLIGONO INDUSTRIAL","916504651 / 630214688","NO DISPONIBLE","administracion@amigoinformatico.com","www.amigoinformatico.com","FABIAN DE LA TORRE","","INFORMATICA","CONSULTORES TECNOLOGIA INFORMATICA",40.51888227,-3.65470622
"AMMERAAL BELTECH, S.A.","AV VALDELAPARRA (DE) 27","28108","POLIGONO INDUSTRIAL","916610870 / 916613299","916613141","d.centro@ammeraalbeltech.com","NO DISPONIBLE","RICARDO LOPEZ","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","MANIPULACION Y VENTA DE BANDAS TRANSPORTADORAS DE MAT. PLASTICO",40.53889230,-3.64696818
"AMV HISPANIA","CL ANABEL SEGURA (DE) 11 EDIFICIO B, 2º PLANTA, OFICINA D","28100","ARROYO DE LA VEGA","902125750","902011123","lmora@amv.es","www.amv.es","CEDRIC MARC BERNARD PARNAUDEAU","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","CORREDURIA DE SEGUROS",40.53329719,-3.62708410
"ANC","CL AZALEA (DE LA) 1 - 1ª PLANTA OFICINA 2  EDIFICIO B (ZADE MINIPARC I)","28109","MINI-PARC","915567661","915554741","isabellopez@anc.es","www.anc.es","ISABEL LOPEZ ZABALLOS","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORÍA DE NEGOCIO PARA EL SECTOR INFORMATICO",40.51941663,-3.65116224
"ANER, SISTEMAS INFORMATICOS","AV INDUSTRIA (DE LA) 37 P. 11","28108","POLIGONO INDUSTRIAL","916624767  / 670617498","916613922","info@anerdata.com","www.aner.com","ARANTXA","","INFORMATICA","INFORAMTICA (SOFTWARE / HARDWARE)",40.53389907,-3.65273873
"ANERPRO ENERGIA Y PROCESO","AV INDUSTRIA (DE LA) 4","28108","POLIGONO INDUSTRIAL","914904796","NO DISPONIBLE","carlos.rodriguez@anerpro.com","www.anerpro.com","CARLOS RODRIGUEZ","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","INGENIERIA E INSTALACIONES INDUSTRIALES",40.53543008,-3.64232167
"ANGEL MOTOR","CL VALGRANDE (DE) 21 NAVE 10","28108","POLIGONO INDUSTRIAL","916270179","NO DISPONIBLE","angelmotor015@hotmail.com","NO DISPONIBLE","ANGEL","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","MECANICA",40.53727306,-3.65196894
"ANT","AV VEGA (DE LA) 1","28108","ARROYO DE LA VEGA","913501914","NO DISPONIBLE","fdiaz@antit.eu","www.antit.eu","LUIS LOPEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORA SOPORTE FORMATIVO, TÉCNICO REGLAMENTARIO ÁMBITOS RELATIVOS AL CICLO DE VIDA LEGAL DE VEHÍCULOS",40.52433701,-3.63873734
"ANTARTIDA LAB","AV INDUSTRIA (DE LA) 37 1º, OFICINA 24","28108","POLIGONO INDUSTRIAL","657895912","NO DISPONIBLE","blarrastia@antartidalab.com","www.antartidalab.com","BLANCA ARRASTIA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA INFORMATICA",40.53389907,-3.65273873
"ANTARTIDA SOLUCIONES","AV INDUSTRIA (DE LA) 13 - 1º,  OFIC 24","28108","POLIGONO INDUSTRIAL","914905966","916622835","oscarmario@asoid.com","www.antartidasoluciones.com","OSCAR MARIO GUILLEN","","INFORMATICA","NUEVAS TECNOLOGIAS",40.53516074,-3.64723116
